clip_id,original_reason,verdict,explanation
0236384c-5b9d-44ed-a0a6-51728976c042,Only 9 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
0293b31d-dd34-4db0-a177-ace2a2496acb,No Lidar rows,OUT_OF_SCOPE_not_downloaded,chunk 3142 not in selected_chunks
0368c79a-e305-486d-9a9a-1f77499aaa47,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
04a5da41-793d-4a11-ac21-0d47f23949ed,No Lidar rows,ORPHAN_not_in_nvidia_index,clip absent from clip_index/feature_presence (stray local camera extraction)
064b9f19-1dc5-405b-b3b0-aefd6b7f1b7d,Only 9 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
0762b3dc-3c15-48d7-ac15-56a4bbb1e934,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
0c14cbba-4f05-40d2-a302-40d60689285a,No Lidar rows,ORPHAN_not_in_nvidia_index,clip absent from clip_index/feature_presence (stray local camera extraction)
0dd56413-d94b-409a-a68c-a5e93d07541f,Only 9 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
0e0f5f86-9607-4a46-b442-c37ea35ddd9f,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
1032bf10-f9cf-4c27-8ce1-017a92f495ec,No Lidar rows,BY_DESIGN_no_lidar,NVIDIA feature_presence declares lidar absent
124f7dba-735e-4101-81e5-a9be46bd004f,Only 9 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
1298081a-cfce-4c09-a111-3cddedbb86e1,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
12edb101-e771-453e-97f3-eb513b1c6f3a,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
14dab2d2-3b64-4246-9938-d039ab2b7375,Only 9 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
15bf5295-2c34-4109-a48d-0f7826e840a1,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
1957a5dc-4669-43fa-8f66-a0380790dbba,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
1a00f80b-c6de-4748-add6-3769aa7c45b1,Only 9 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
1a5154b7-0f9e-4afd-9367-8a58ccd66100,No Lidar rows,ORPHAN_not_in_nvidia_index,clip absent from clip_index/feature_presence (stray local camera extraction)
1baa62cb-c3f2-4a5d-a4f2-d17e2b94338a,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
1c03c41a-2f05-49a9-b4ae-ef9cadab7121,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
1c4f2c88-20c2-44c9-8903-fea8c3bf59bc,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
1c6c533d-30a9-4bb3-a137-2e33dadf954c,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
1e33d840-9e97-4478-9579-4ee39dbca844,No Lidar rows,BY_DESIGN_no_lidar,NVIDIA feature_presence declares lidar absent
1ebd25cc-67a3-43b1-b74c-546cd120b652,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
1fce2e1f-0563-42f4-84ab-60c76a85d844,No Lidar rows,OUT_OF_SCOPE_not_downloaded,chunk 3130 not in selected_chunks
224624ef-7b7a-47c4-88c2-fc92363e0a40,Only 8 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
24b175af-904a-4678-9645-3c1b3efdf983,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
26776f8c-4e79-4891-bcdc-84b6145c0ddc,No Lidar rows,OUT_OF_SCOPE_not_downloaded,chunk 3134 not in selected_chunks
275dbe78-fadd-4f93-b7fe-a2efb7edff39,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
28655214-b40a-413f-99c4-5f6b1a2f4ba8,No Lidar rows,ORPHAN_not_in_nvidia_index,clip absent from clip_index/feature_presence (stray local camera extraction)
28fb6059-1d2a-40a4-9a45-37243f37c20a,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
299cf8ed-488a-46f8-baba-3a0dab762c82,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
29e4c659-956d-481d-8a77-e3a0faba376f,No Lidar rows,FALSE_POSITIVE_bronze_bug,lidar present & non-empty locally; flagged due to Bronze no-clip_id bug
29f5feee-ad12-49c3-a42b-d2137bf45fa9,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
2aa19e9c-1437-4e1a-ad80-6dbad2c10b27,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
30e13bc3-47a8-49b6-b45c-8555383ae92b,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 0 radars (radar_config)
313a4af6-3873-4ec9-80d2-9442585c68f2,Only 0 radar sensors (< 10),BY_DESIGN_radar_config,NVIDIA expects 9 radars (radar_config)
